userId,source
20edfb73-73e3-4e24-aaad-e0219852c6b5,google
aa4b7669-ea02-43f4-9771-e5fd36f8a214,bing
d89b1770-2f30-411c-b28a-b79f6d61c8d0,other
c07674cf-349a-4f32-8d5f-52d2755e0ee8,other
6b11710c-b1bc-4a60-8cac-d5d219fd8f95,google
0de4c267-88da-4794-895c-16d968de5dd0,other
5c746968-9296-4b27-9ffd-ffa11be3adde,bing
5d70235f-c2fe-4d11-8f1e-10280fa3c98f,bing
5d5fadef-fdc3-4325-9d74-0d4f9b8f3421,bing
2ad45c89-41f0-4e7e-8868-30738d98c161,other
137650ca-ed1d-45da-a94d-c735be6d10bc,bing
0a9dc459-1c2a-4b31-b067-38508ed4302a,other
e67b53e9-0419-499e-b3d7-6127d4f4563d,bing
65d10296-3cf9-4544-9179-24b7f3aa80df,bing
21fe07cb-33f1-437b-a284-3467baf0959b,bing
d87bb33b-4a33-4348-b4d6-b776e80eafaa,other
8c9d7970-d008-431f-9c71-af60f6c44258,bing
0540a92e-4bff-475d-bf3c-826c40e3e430,bing
819bc30c-8751-47a1-9bcb-ae33f57f7747,google
0b77eef6-8575-45e6-8d51-93d86936fd60,bing
c81944b3-3642-4c5d-8408-9e401263cc53,other
5394784c-cc24-4156-b4ad-3b2cbbb665f4,bing
221bd1d0-51ee-44e9-aee2-46d80f53e6be,bing
00f0676c-06c6-45f5-8430-1fd587cdeeac,bing
f2ee5504-d660-477a-a31b-6618a7155ae8,google
5f1ff885-3bb7-4b0a-abf5-92ceed8e91db,other
904efc5b-2755-409c-bfc9-ab6c8cff9a12,bing
1ba0134a-1f43-4773-938d-c1d38d680d11,bing
a0c40e0f-8fc1-41ac-95e3-38006d251009,bing
5158d508-c477-4ebb-a5f9-fd963bbfa3cd,bing
9ce63488-758a-481a-bcb5-a02b467e1d84,bing
9f78347e-ff15-4419-a7fe-5567ef930767,google
685b5054-a747-466b-be1b-43c39854574d,other
81b4f076-741b-405e-a9d0-d12038c16448,other
611250f5-7d92-4103-95af-3fc448a9fd5b,bing
e4986a89-a5c4-49e9-bd65-9e475ee2df64,other
fdd232f5-962d-4eed-ac02-f0141385cc8f,bing
aa864e21-b0e5-4cb6-b316-1fea9f5a5f5d,bing
187b80fe-a4f8-4223-a9a8-975d2690aa54,bing
e38cb669-7335-4d56-9de5-c8d5d2f13fd3,google
2599c80f-87fb-4c13-8631-2e8eb54bba89,google
c2588f4b-f79f-41fe-ab0e-d80e24254170,google
86da453c-93a5-4d2d-84ae-d96093553aba,bing
c6f558bf-35dd-4074-978c-41fdc4da9a60,bing
20acab45-9b28-4ccc-9574-d357637a1c84,google
67333280-480e-4e70-ac52-b56e2668088f,other
24f333a1-f94a-475f-8a09-ae759643a79c,other
27a3b2d4-63df-4717-8a3e-c7b9a4a892d2,bing
04a1f108-5d99-4c71-a575-1f3290a507b9,google
07eff6a2-4b3c-4f16-8fa0-87b5731d3ab2,bing
eb89a159-6d63-4959-8059-1fc44c73c6e6,google
66582665-95a6-42cc-ad71-7c3b9971bc64,other
a82c393b-1e0c-4380-99bb-040e93a6a4d5,bing
c5fdea32-0381-480d-b572-8d89ecc7bce2,other
2515a90c-8389-483b-9593-814339388010,bing
a8add90e-4169-45a3-b724-c995a6a55c45,other
93d25c87-f248-43b1-afc2-df0b2bacbb91,bing
8d4cad12-c23d-4ef5-8d23-846bbd47bb50,bing
47727b48-2842-4aa5-9b45-7f18b48afce4,bing
2b231462-84f4-4228-afea-fd8f618ca2e6,other
